"Survival Summary Page","2014","24 mo",134197,16.20,17.85,43.1%,95.4%,45.2%,0.1%,0.1%,42.9%,43.4%,45.0%,45.5%
"Survival Summary Page","2014","36 mo",134197,16.20,17.85,36.7%,93.1%,39.4%,0.1%,0.1%,36.4%,36.9%,39.1%,39.6%
"Survival Summary Page","2014","48 mo",134197,16.20,17.85,32.4%,90.9%,35.7%,0.1%,0.1%,32.2%,32.7%,35.4%,36.0%
"Survival Summary Page","2014","60 mo",134197,16.20,17.85,29.4%,88.6%,33.2%,0.1%,0.1%,29.2%,29.7%,32.9%,33.5%
"Survival Summary Page","2015","12 mo",136878,16.85,18.67,56.2%,97.6%,57.6%,0.1%,0.1%,55.9%,56.4%,57.3%,57.8%
"Survival Summary Page","2015","24 mo",136878,16.85,18.67,43.9%,95.3%,46.0%,0.1%,0.1%,43.6%,44.2%,45.8%,46.3%
"Survival Summary Page","2015","36 mo",136878,16.85,18.67,37.3%,93.1%,40.1%,0.1%,0.1%,37.1%,37.6%,39.8%,40.4%
"Survival Summary Page","2015","48 mo",136878,16.85,18.67,33.1%,90.8%,36.5%,0.1%,0.1%,32.9%,33.4%,36.2%,36.8%
"Survival Summary Page","2015","60 mo",136878,16.85,18.67,30.0%,88.4%,33.9%,0.1%,0.1%,29.7%,30.2%,33.6%,34.2%
"Survival Summary Page","2016","12 mo",135819,17.51,19.59,56.8%,97.6%,58.2%,0.1%,0.1%,56.5%,57.1%,57.9%,58.5%
"Survival Summary Page","2016","24 mo",135819,17.51,19.59,44.6%,95.3%,46.8%,0.1%,0.1%,44.3%,44.8%,46.5%,47.1%
"Survival Summary Page","2016","36 mo",135819,17.51,19.59,38.0%,93.0%,40.8%,0.1%,0.1%,37.7%,38.2%,40.5%,41.1%
"Survival Summary Page","2016","48 mo",135819,17.51,19.59,33.7%,90.5%,37.2%,0.1%,0.1%,33.4%,33.9%,36.9%,37.5%
"Survival Summary Page","2016","60 mo",135819,17.51,19.59,30.3%,87.9%,34.5%,0.1%,0.1%,30.1%,30.6%,34.2%,34.8%
"Survival Summary Page","2017","12 mo",137454,18.15,20.39,57.1%,97.6%,58.6%,0.1%,0.1%,56.9%,57.4%,58.3%,58.8%
"Survival Summary Page","2017","24 mo",137454,18.15,20.39,45.2%,95.3%,47.5%,0.1%,0.1%,45.0%,45.5%,47.2%,47.7%
"Survival Summary Page","2017","36 mo",137454,18.15,20.39,38.6%,92.8%,41.6%,0.1%,0.1%,38.4%,38.9%,41.3%,41.9%
"Survival Summary Page","2017","48 mo",137454,18.15,20.39,34.0%,90.2%,37.8%,0.1%,0.1%,33.8%,34.3%,37.5%,38.0%
"Survival Summary Page","2017","60 mo",137454,18.15,20.39,30.6%,87.6%,34.9%,0.1%,0.1%,30.3%,30.8%,34.6%,35.2%
"Survival Summary Page","2018","12 mo",138579,19.41,22.06,58.3%,97.6%,59.8%,0.1%,0.1%,58.1%,58.6%,59.5%,60.0%
"Survival Summary Page","2018","24 mo",138579,19.41,22.06,46.3%,95.1%,48.7%,0.1%,0.1%,46.1%,46.6%,48.4%,49.0%
"Survival Summary Page","2018","36 mo",138579,19.41,22.06,39.3%,92.5%,42.5%,0.1%,0.1%,39.1%,39.6%,42.3%,42.8%
"Survival Summary Page","2018","48 mo",138579,19.41,22.06,34.5%,89.9%,38.3%,0.1%,0.1%,34.2%,34.7%,38.0%,38.6%
"Survival Summary Page","2018","60 mo",138579,19.41,22.06,+,87.5%,+,+,+,+,+,+,+
"Survival Summary Page","2019","12 mo",142408,19.61,22.53,58.8%,97.4%,60.4%,0.1%,0.1%,58.5%,59.0%,60.1%,60.6%
"Survival Summary Page","2019","24 mo",142408,19.61,22.53,46.4%,94.7%,49.0%,0.1%,0.1%,46.1%,46.6%,48.7%,49.2%
"Survival Summary Page","2019","36 mo",142408,19.61,22.53,39.2%,92.1%,42.6%,0.1%,0.1%,39.0%,39.5%,42.3%,42.9%
"Survival Summary Page","2019","48 mo",142408,19.61,22.53,+,89.7%,+,+,+,+,+,+,+
"Survival Summary Page","2019","60 mo",142408,19.61,22.53,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2020","12 mo",136807,18.26,20.80,57.4%,97.2%,59.0%,0.1%,0.1%,57.1%,57.7%,58.8%,59.3%
"Survival Summary Page","2020","24 mo",136807,18.26,20.80,45.1%,94.7%,47.7%,0.1%,0.1%,44.9%,45.4%,47.4%,47.9%
"Survival Summary Page","2020","36 mo",136807,18.26,20.80,+,92.2%,+,+,+,+,+,+,+
"Survival Summary Page","2020","48 mo",136807,18.26,20.80,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2020","60 mo",136807,18.26,20.80,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2021","12 mo",146925,19.16,21.74,58.2%,97.3%,59.8%,0.1%,0.1%,57.9%,58.4%,59.5%,60.1%
"Survival Summary Page","2021","24 mo",146925,19.16,21.74,+,94.8%,+,+,+,+,+,+,+
"Survival Summary Page","2021","36 mo",146925,19.16,21.74,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2021","48 mo",146925,19.16,21.74,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2021","60 mo",146925,19.16,21.74,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2022","12 mo",145034,+,+,+,97.4%,+,+,+,+,+,+,+
"Survival Summary Page","2022","24 mo",145034,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2022","36 mo",145034,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2022","48 mo",145034,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2022","60 mo",145034,+,+,+,+,+,+,+,+,+,+,+
