"Cancer Site Comparison"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2022"
"Female By Cancer Site, Delay-adjusted SEER Incidence Rate, All Races / Ethnicities, All Ages, All Stages"

"","All Cancer Sites Combined","All Cancer Sites Combined","All Cancer Sites Combined","All Cancer Sites Combined","HR+/HER2- Breast Cancer (Female only)","HR+/HER2- Breast Cancer (Female only)","HR+/HER2- Breast Cancer (Female only)","HR+/HER2- Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Lung and Bronchus","Lung and Bronchus","Lung and Bronchus","Lung and Bronchus","Pancreas","Pancreas","Pancreas","Pancreas"
"2010","421.0","419.5","422.4","423.5","84.5","83.9","85.1","93.6","11.7","11.5","12.0","12.7","4.8","4.7","5.0","5.2","37.0","36.6","37.4","37.2","50.8","50.3","51.3","51.2","11.3","11.0","11.5","11.2"
"2011","420.9","419.5","422.4","423.5","96.6","95.9","97.2","95.5","12.5","12.3","12.8","12.5","5.6","5.4","5.7","5.4","36.0","35.6","36.4","36.0","49.9","49.4","50.4","50.0","11.1","10.9","11.4","11.3"
"2012","421.7","420.3","423.1","423.4","95.3","94.7","96.0","97.4","12.4","12.2","12.7","12.4","5.6","5.4","5.8","5.7","35.0","34.6","35.4","34.8","50.0","49.5","50.4","49.6","11.4","11.2","11.6","11.4"
"2013","422.8","421.4","424.2","423.4","^","^","^","^","^","^","^","^","^","^","^","^","34.4","34.0","34.8","34.6","49.0","48.5","49.5","49.2","11.3","11.1","11.6","11.5"
"2014","426.9","425.5","428.3","425.5","^","^","^","^","^","^","^","^","^","^","^","^","34.6","34.2","35.0","34.4","48.8","48.3","49.2","48.8","11.6","11.4","11.8","11.6"
"2015","430.2","428.8","431.6","427.6","^","^","^","^","^","^","^","^","^","^","^","^","34.2","33.8","34.6","34.2","48.4","47.9","48.9","48.4","11.8","11.6","12.0","11.8"
"2016","428.2","426.8","429.6","429.8","^","^","^","^","^","^","^","^","^","^","^","^","34.4","34.0","34.8","34.0","48.0","47.5","48.4","48.0","11.9","11.7","12.2","11.9"
"2017","428.9","427.5","430.3","431.9","^","^","^","^","^","^","^","^","^","^","^","^","33.6","33.2","34.0","33.8","47.8","47.4","48.3","47.6","12.0","11.7","12.2","12.1"
"2018","431.6","430.2","433.0","434.1","^","^","^","^","^","^","^","^","^","^","^","^","33.5","33.2","33.9","33.6","47.0","46.6","47.5","47.2","12.3","12.1","12.5","12.2"
"2019","439.3","437.9","440.7","436.3","^","^","^","^","^","^","^","^","^","^","^","^","33.4","33.1","33.8","33.4","46.9","46.4","47.3","46.8","12.5","12.3","12.7","12.4"
"2020","399.8","398.4","401.1","438.5","^","^","^","^","^","^","^","^","^","^","^","^","30.2","29.8","30.6","33.6","41.0","40.6","41.4","45.6","12.1","11.9","12.3","12.5"
"2021","442.5","441.1","443.9","440.7","^","^","^","^","^","^","^","^","^","^","^","^","33.8","33.4","34.2","33.8","43.8","43.4","44.2","44.4","12.7","12.4","12.9","12.7"
"2022","441.7","440.3","443.2","442.9","^","^","^","^","^","^","^","^","^","^","^","^","34.0","33.7","34.4","34.0","43.7","43.3","44.1","43.3","12.7","12.5","12.9","12.8"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Stage at diagnosis is calculated using the Combined Summary Stage (2004+) recode, created from SEER Combined Summary Stage 2000 (2004-2017) & Derived Summary Stage 2018 (2018+). For more information, see the SEER documentation [https://seer.cancer.gov/seerstat/variables/seer/lrd-stage]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Sun Feb 15 2026.
